OrderID,CustomerID,ProductID,OrderDate,Quantity
11663,250,14,8/5/2024,2
11664,286,3,3/8/2024,10
11665,231,4,8/5/2024,8
11666,203,11,8/6/2024,9
11667,144,16,8/4/2024,2
11668,203,8,8/6/2024,2
11669,50,17,8/26/2024,4
11670,235,1,12/8/2024,9
11671,210,12,8/27/2024,9
11672,243,11,8/23/2024,6
11673,35,11,8/20/2024,6
11674,235,20,8/3/2024,9
11675,108,17,2024/23/08,9
11676,23,1,8/22/2024,10
11677,153,9,8/26/2024,6
11678,268,9,8/13/2024,2
11679,251,12,8/28/2024,10
11680,141,7,8/4/2024,10
11681,195,9,8/28/2024,1
11682,240,23,8/26/2024,3
11683,76,4,8/3/2024,5
11684,206,22,8/13/2024,6
11685,222,19,1/8/2024,5
11686,27,4,8/9/2024,9
11687,177,15,28-08-2024,9
11688,56,21,6/8/2024,7
11689,210,5,8/14/2024,9
11690,141,1,8/27/2024,10
11691,231,2,8/12/2024,7
11692,215,6,8/15/2024,1
11693,163,17,8/18/2024,2
11694,199,25,8/15/2024,6
11695,217,20,8/7/2024,1
11696,272,22,8/17/2024,1
11697,162,15,8/27/2024,2
11698,105,19,3/8/2024,5
11699,281,21,8/2/2024,3
11700,284,5,8/24/2024,6
11701,43,13,8/24/2024,8
11702,193,13,2024/28/08,
11703,69,17,8/20/2024,4
11704,250,21,8/17/2024,4
11705,11,24,8/7/2024,
11706,296,23,8/28/2024,9
11707,277,10,8/13/2024,5
11708,251,15,8/19/2024,7
11709,30,7,8/17/2024,3
11710,167,,8/23/2024,1
11711,199,20,8/19/2024,4
11712,22,20,8/14/2024,9
11713,162,6,8/23/2024,4
11714,232,3,8/25/2024,6
11715,255,23,8/5/2024,1
11716,64,15,8/7/2024,9
11717,138,10,8/23/2024,9
11718,160,15,8/28/2024,7
11719,94,13,8/20/2024,1
11720,181,22,8/2/2024,3
11721,18,19,8/5/2024,9
11722,189,5,8/27/2024,4
11723,51,5,8/16/2024,5
11724,91,14,8/28/2024,9
11725,8,12,8/1/2024,3
11726,155,5,8/6/2024,5
11727,148,18,8/8/2024,1
11728,275,12,8/18/2024,5
11729,218,21,8/10/2024,3
11730,98,18,8/20/2024,6
11731,171,16,8/6/2024,7
11732,145,2,7/8/2024,2
11733,139,,8/16/2024,9
11734,252,18,8/10/2024,9
11735,25,12,8/18/2024,7
11736,27,16,8/19/2024,5
11737,188,11,8/8/2024,5
11738,250,24,2024/22/08,3
11739,273,3,8/22/2024,8
11740,260,19,8/11/2024,4
11741,118,15,8/22/2024,5
11742,56,8,8/4/2024,10
11743,134,22,8/6/2024,10
11744,23,6,8/10/2024,2
11745,120,21,8/18/2024,5
11746,144,1,18-08-2024,3
11747,65,24,8/15/2024,1
11748,173,24,8/2/2024,6
11749,56,23,8/14/2024,5
11750,297,19,8/6/2024,10
11751,199,18,8/3/2024,9
11752,298,3,8/28/2024,10
11753,59,3,8/26/2024,2
11754,9,,8/8/2024,9
11755,268,16,8/26/2024,2
11756,136,15,2024/19/08,10
11757,75,24,8/4/2024,9
11758,263,11,8/16/2024,7
11759,269,3,6/8/2024,6
11760,53,1,8/22/2024,8
11761,101,25,8/5/2024,2
11762,257,20,8/2/2024,2
11763,124,24,8/18/2024,7
11764,81,20,8/18/2024,1
11765,32,19,8/14/2024,2
11766,29,18,8/11/2024,6
11767,265,3,8/19/2024,1
11768,162,18,8/16/2024,6
11769,249,6,8/12/2024,8
11770,118,1,8/24/2024,3
11771,292,5,8/22/2024,8
11772,54,14,8/11/2024,8
11773,3,11,8/4/2024,9
11774,5,5,8/17/2024,10
11775,294,12,8/13/2024,9
11776,172,20,8/18/2024,10
11777,59,21,8/17/2024,9
11778,92,7,2024/24/08,6
11779,292,12,8/28/2024,9
11780,182,17,8/21/2024,2
11781,190,4,8/2/2024,6
11782,185,18,8/5/2024,9
11783,32,9,8/25/2024,2
11784,88,19,8/11/2024,4
11785,17,23,8/7/2024,5
11786,106,6,8/1/2024,7
11787,93,25,8/25/2024,4
11788,207,14,8/24/2024,6
11789,195,7,2/8/2024,7
